ID,Beach,Family
M10,2,10
M12,2,12
M14,2,14
M15,1,15
M16,2,16
M17,2,17
M18,2,18
M19,1,19
M2,1,2
M20,2,20
M21,2,21
M23,2,23
M24,2,24
M25,2,25
M26,1,26
M27,1,27
M28,1,28
M29,1,29
M3,1,3
M30,2,30
M31,2,31
M33,2,33
M35,2,35
M36,2,36
M37,1,37
M38,2,38
M39,2,39
M4,1,4
M40,1,40
M41,1,41
M43,1,43
M44,1,44
M45,1,45
M46,1,46
M47,1,47
M48,1,48
M5,1,5
M6,2,6
M7,2,7
M8,2,8
M9,1,9
P10,2,10
P12,2,12
P14,2,14
P15,1,15
P16,2,16
P17,2,17
P18,2,18
P19,1,19
P2,1,2
P20,2,20
P21,2,21
P23,2,23
P24,2,24
P25,2,25
P26,1,26
P27,1,27
P28,1,28
P29,1,29
P3,1,3
P30,2,30
P31,2,31
P33,2,33
P35,2,35
P36,2,36
P37,1,37
P38,2,38
P39,2,39
P4,1,4
P40,1,40
P41,1,41
P43,1,43
P44,1,44
P45,1,45
P46,1,46
P47,1,47
P48,1,48
P5,1,5
P6,2,6
P7,2,7
P8,2,8
P9,1,9
