ID,SH
M10,0.868
M12,0.992
M14,0.8911
M15,0.961
M16,0.9485
M17,0.9801
M18,1.0513
M19,0.93
M2,1.1624
M20,1.1066
M21,0.8589
M23,0.9885
M24,1.054
M25,0.9389
M26,0.9485
M27,1.023
M28,0.9768
M29,1.085
M3,1.116
M30,1.0194
M31,0.9519
M33,1.023
M35,0.868
M36,1.1429
M37,1.023
M38,1.023
M39,1.0045
M4,1.023
M40,0.9327
M41,1.023
M43,0.7746
M44,1.023
M45,0.9238
M46,1.1795
M47,0.9136
M48,1.1428
M5,0.93
M6,1.085
M7,0.8827
M8,0.899
M9,0.9557
P10,0.9837
P12,0.9851
P14,0.9876
P15,0.9557
P16,0.8787
P17,1.085
P18,0.93
P19,0.93
P2,0.9951
P20,1.0117
P21,0.9417
P23,1.178
P24,1.0515
P25,0.9992
P26,1.0513
P27,1.085
P28,0.806
P29,1.116
P3,0.961
P30,0.9184
P31,1.1008
P33,1.0678
P35,1.045
P36,1.085
P37,1.0685
P38,1.054
P39,1.0119
P4,0.93
P40,0.992
P41,0.992
P43,0.9238
P44,1.054
P45,0.93
P46,1.054
P47,1.1119
P48,1.023
P5,0.93
P6,1.147
P7,1.075
P8,1.023
P9,0.868
